date,plate,well,timepoint_h,abs_570nm,contents,tech_replicate
09/16/25,mtt3,A1,24,0.2660571429,water, 
09/16/25,mtt3,A2,24,0.251715,blank,1
09/16/25,mtt3,A3,24,0.267235,blank,2
09/16/25,mtt3,A4,24,0.2355550296,blank,3
09/16/25,mtt3,B1,24,0.3206661479,water, 
09/16/25,mtt3,B2,24,0.2824202817,cells,1
09/16/25,mtt3,B3,24,0.2779453083,cells,2
09/16/25,mtt3,B4,24,0.2552772414,cells,3
09/16/25,mtt3,C1,24,0.2296681614,water, 
09/16/25,mtt3,C2,24,0.2965105058,water, 
09/16/25,mtt3,C3,24,0.2934567686,water, 
09/16/25,mtt3,C4,24,0.3521846154,water, 
09/15/25,mtt3,A1,4,0.1912503937,water, 
09/15/25,mtt3,A2,4,0.3024748936,blank,1
09/15/25,mtt3,A3,4,0.298978355,blank,2
09/15/25,mtt3,A4,4,0.3554321244,blank,3
09/15/25,mtt3,B1,4,0.2707744681,water,
09/15/25,mtt3,B2,4,0.2712504505,cells,1
09/15/25,mtt3,B3,4,0.3493263844,cells,2
09/15/25,mtt3,B4,4,0.2399133333,cells,3
09/15/25,mtt3,C1,4,0.2859442424,water, 
09/15/25,mtt3,C2,4,0.3120688172,water, 
09/15/25,mtt3,C3,4,0.2726051813,water, 
09/15/25,mtt3,C4,4,0.3010710383,water, 
09/15/25,mtt3,A1,2,0.2408833333,water, 
09/15/25,mtt3,A2,2,0.2764996587,blank,1
09/15/25,mtt3,A3,2,0.2650166065,blank,2
09/15/25,mtt3,A4,2,0.2401467456,blank,3
09/15/25,mtt3,B1,2,0.2546354978,water, 
09/15/25,mtt3,B2,2,0.2726240469,cells,1
09/15/25,mtt3,B3,2,0.3104,cells,2
09/15/25,mtt3,B4,2,0.2649485714,cells,3
09/15/25,mtt3,C1,2,0.2710091371,water, 
09/15/25,mtt3,C2,2,0.2494538813,water, 
09/15/25,mtt3,C3,2,0.2697165049,water, 
09/15/25,mtt3,C4,2,0.2909062802,water, 
09/16/25,mtt2,A1,24,0.2321367521,water, 
09/16/25,mtt2,A2,24,0.4710938053,blank,1
09/16/25,mtt2,A3,24, ,blank,2
09/16/25,mtt2,A4,24,0.4037723577,blank,3
09/16/25,mtt2,B1,24,0.3081615385,water, 
09/16/25,mtt2,B2,24,0.2800144578,cells,1
09/16/25,mtt2,B3,24,0.3871215094,cells,2
09/16/25,mtt2,B4,24,0.2742758621,cells,3
09/16/25,mtt2,C1,24,0.2769094737,water, 
09/16/25,mtt2,C2,24,0.1537076923,water, 
09/16/25,mtt2,C3,24,0.3477780105,water, 
09/16/25,mtt2,C4,24,0.3506681081,water, 
09/15/25,mtt2,A1,4,0.1985746725,water, 
09/15/25,mtt2,A2,4,0.2356740741,blank,1
09/15/25,mtt2,A3,4,0.2506335404,blank,2
09/15/25,mtt2,A4,4,0.2470343195,blank,3
09/15/25,mtt2,B1,4,0.2735488584,water, 
09/15/25,mtt2,B2,4,0.2762033898,cells,1
09/15/25,mtt2,B3,4,0.2967184573,cells,2
09/15/25,mtt2,B4,4,0.2289070234,cells,3
09/15/25,mtt2,C1,4,0.2422634146,water, 
09/15/25,mtt2,C2,4,0.2740035398,water, 
09/15/25,mtt2,C3,4,0.2866995074,water, 
09/15/25,mtt2,C4,4,0.2751272727,water, 
09/15/25,mtt2,A1,2,0.2456683417,water, 
09/15/25,mtt2,A2,2,0.414408377,water, 
09/15/25,mtt2,A3,2,0.2584901024,blank,1
09/15/25,mtt2,A4,2,0.2209627119,blank,2
09/15/25,mtt2,B1,2,0.297954717,water, 
09/15/25,mtt2,B2,2,0.2897982301,cells,1
09/15/25,mtt2,B3,2,0.3112971098,cells,2
09/15/25,mtt2,B4,2,0.3649297297,cells,3
09/15/25,mtt2,C1,2,0.2994447059,water, 
09/15/25,mtt2,C2,2,0.2532937685,blank,3
09/15/25,mtt2,C3,2,0.2558907317,water, 
09/15/25,mtt2,C4,2,0.2861010101,water, 
